For Mayor CITY OF JERSEY CITY ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JOYCE E. WATTERMAN,,,,,,MUSSAB ALI,,,,,,KALKI JAYNE-ROSE,,,,,,JIM McGREEVEY,,,,,,BILL O'DEA,,,,,,JAMES SOLOMON,,,,,,CHRISTINA L. FREEMAN,,,,,,Write-In Vote,,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Election Day,Early Voting,Mail-In,Provisional,Overseas,Total Votes,Total
Jersey City Ward F District 26,1244,5,4,0,1,0,10,20,18,6,0,0,44,0,0,0,0,0,0,26,41,19,0,0,86,24,20,7,1,0,52,81,105,67,2,2,257,2,0,1,0,0,3,0,0,0,0,0,0,452
Jersey City Ward F District 27,1086,9,3,0,0,0,12,26,9,3,1,0,39,0,1,0,0,0,1,46,24,8,2,0,80,24,16,10,10,0,60,81,42,20,2,0,145,4,0,1,0,0,5,1,0,0,0,0,1,343
Jersey City Ward F District 28,975,3,1,0,0,0,4,16,19,10,9,1,55,1,0,0,0,0,1,33,24,14,6,0,77,23,13,15,8,0,59,92,83,22,8,0,205,2,1,0,0,0,3,0,0,0,0,0,0,404
Jersey City Ward F District 29,983,4,5,1,0,0,10,16,9,10,2,0,37,0,0,0,0,0,0,38,19,17,1,1,76,25,18,6,2,0,51,109,80,49,3,1,242,1,1,1,0,0,3,0,0,0,0,0,0,419
Jersey City Ward F District 30,804,5,2,2,0,0,9,26,14,1,3,1,45,0,0,0,0,0,0,36,14,10,2,0,62,20,16,6,0,0,42,84,48,24,1,1,158,2,1,0,0,0,3,2,0,0,0,0,2,321
Jersey City Ward F District 31,1029,5,2,1,0,0,8,33,8,8,2,0,51,0,0,0,0,0,0,43,15,11,3,1,73,36,12,16,1,1,66,135,73,42,9,1,260,1,1,0,0,0,2,2,0,0,0,0,2,462
Jersey City Ward F District 32,855,7,2,4,0,1,14,15,15,11,0,0,41,0,0,0,0,0,0,32,11,10,0,0,53,19,6,5,1,0,31,74,45,33,1,0,153,4,2,0,0,0,6,1,0,0,0,0,1,299
Jersey City Ward F District 33,979,3,0,1,0,0,4,19,13,5,0,0,37,0,0,0,0,0,0,40,26,18,2,0,86,18,12,11,1,0,42,87,53,38,3,0,181,2,2,3,0,0,7,0,0,0,0,0,0,357
Jersey City Ward F District 34,930,1,3,0,1,0,5,6,2,3,1,0,12,0,0,0,0,0,0,36,19,15,3,0,73,10,6,3,5,0,24,54,35,22,14,0,125,2,1,0,0,0,3,0,0,0,0,0,0,242
Total:,177010,1616,507,299,65,4,2491,7732,2809,947,374,15,11877,129,24,8,1,0,162,9273,4151,2365,421,9,16219,8159,3578,1760,338,9,13844,10257,5243,2886,428,24,18838,673,178,81,23,0,955,110,30,12,2,0,154,64540
